# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
jps.global.get.libraries.ms,1735140522530000000,1735140582819000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1735140522530000000,1735140582819000000,0
jps.artifact.entities.serializer.load.entities.ms,1735140522530000000,1735140582819000000,0
jps.library.entities.serializer.load.entities.ms,1735140522530000000,1735140582819000000,1
workspaceModel.moduleManagerBridge.get.modules.ms,1735140522530000000,1735140582819000000,0
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1735140522530000000,1735140582819000000,2
workspaceModel.do.save.caches.ms,1735140522530000000,1735140582819000000,129
workspaceModel.moduleManagerBridge.newModule.ms,1735140522530000000,1735140582819000000,0
workspaceModel.mutableEntityStorage.instances.count,1735140522530000000,1735140582819000000,27
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1735140522530000000,1735140582819000000,0
jps.project.serializers.save.ms,1735140522530000000,1735140582819000000,0
workspaceModel.load.cache.metadata.from.file.ms,1735140522530000000,1735140582819000000,52
workspaceModel.load.cache.from.file.ms,1735140522530000000,1735140582819000000,475
workspaceModel.mutableEntityStorage.entities.ms,1735140522530000000,1735140582819000000,2
jps.global.handle.before.change.events.ms,1735140522530000000,1735140582819000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1735140522530000000,1735140582819000000,0
jps.apply.loaded.storage.ms,1735140522530000000,1735140582819000000,67
workspaceModel.moduleManagerBridge.create.module.instance.ms,1735140522530000000,1735140582819000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1735140522530000000,1735140582819000000,0
jps.project.serializers.load.ms,1735140522530000000,1735140582819000000,153
workspaceModel.moduleManagerBridge.load.module.ms,1735140522530000000,1735140582819000000,0
workspaceModel.global.updates.count,1735140522530000000,1735140582819000000,1
jps.storage.jps.conf.reader.load.component.ms,1735140522530000000,1735140582819000000,12
jps.artifact.entities.serializer.save.entities.ms,1735140522530000000,1735140582819000000,0
jps.global.initialize.library.bridges.ms,1735140522530000000,1735140582819000000,1
workspaceModel.moduleManagerBridge.load.all.modules.ms,1735140522530000000,1735140582819000000,95
workspaceModel.mutableEntityStorage.put.entity.ms,1735140522530000000,1735140582819000000,8
jps.facet.change.listener.process.change.events.ms,1735140522530000000,1735140582819000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1735140522530000000,1735140582819000000,3
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1735140522530000000,1735140582819000000,0
jps.load.initial.state.ms,1735140522530000000,1735140582819000000,201
workspaceModel.delayed.project.synchronizer.sync.ms,1735140522530000000,1735140582819000000,315
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1735140522530000000,1735140582819000000,1
workspaceModel.mutableEntityStorage.collect.changes.ms,1735140522530000000,1735140582819000000,2
jps.module.iml.entities.serializer.load.entities.ms,1735140522530000000,1735140582819000000,92
workspaceModel.mutableEntityStorage.entities.by.source.ms,1735140522530000000,1735140582819000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1735140522530000000,1735140582819000000,3
workspaceModel.sync.entities.ms,1735140522530000000,1735140582819000000,0
jps.global.get.library.by.name.ms,1735140522530000000,1735140582819000000,0
jps.global.initialize.library.bridges.after.loading.ms,1735140522530000000,1735140582819000000,1
workspaceModel.save.cache.to.file.ms,1735140522530000000,1735140582819000000,133
jps.facet.change.listener.init.bridge.ms,1735140522530000000,1735140582819000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1735140522530000000,1735140582819000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1735140522530000000,1735140582819000000,982
jps.global.get.library.ms,1735140522530000000,1735140582819000000,0
jps.library.entities.serializer.save.entities.ms,1735140522530000000,1735140582819000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1735140522530000000,1735140582819000000,1
jps.module.iml.entities.serializer.save.entities.ms,1735140522530000000,1735140582819000000,0
jps.reload.project.entities.ms,1735140522530000000,1735140582819000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1735140522530000000,1735140582819000000,0
jps.load.project.to.empty.storage.ms,1735140522530000000,1735140582819000000,235
workspaceModel.mutableEntityStorage.remove.entity.ms,1735140522530000000,1735140582819000000,0
workspaceModel.global.apply.state.to.project.ms,1735140522530000000,1735140582819000000,92
workspaceModel.mutableEntityStorage.modify.entity.ms,1735140522530000000,1735140582819000000,5
workspaceModel.mutableEntityStorage.referrers.ms,1735140522530000000,1735140582819000000,0
jps.save.global.entities.ms,1735140522530000000,1735140582819000000,0
